--- model polynom_b (rz > 0). units: [m] for length, [rad] for angle and [m^(n-1)] for polynom_b ---
 len[m]   angle[deg]  PolyB(n=0)   PolyB(n=1)   PolyB(n=2)   PolyB(n=3)   PolyB(n=6)   
 0.125  ,  +0.40935 ,  +0.00e+00 ,  -8.00e-01 ,  +2.79e-01 ,  +1.18e+01 ,  +2.18e+06 , 
 0.055  ,  +0.18129 ,  +0.00e+00 ,  -7.99e-01 ,  +2.75e-01 ,  +1.09e+01 ,  +1.92e+06 , 
 0.010  ,  +0.03253 ,  +0.00e+00 ,  -7.55e-01 ,  -1.05e-01 ,  +1.30e+00 ,  +1.41e+06 , 
 0.005  ,  +0.01580 ,  +0.00e+00 ,  -6.49e-01 ,  -2.02e+00 ,  -3.88e+00 ,  +2.65e+06 , 
 0.005  ,  +0.01539 ,  +0.00e+00 ,  -5.52e-01 ,  -3.87e+00 ,  -1.14e+01 ,  +3.71e+06 , 
 0.005  ,  +0.01520 ,  +0.00e+00 ,  -5.05e-01 ,  -4.69e+00 ,  -1.85e+01 ,  +4.77e+06 , 
 0.005  ,  +0.01537 ,  +0.00e+00 ,  -5.46e-01 ,  -3.98e+00 ,  -1.14e+01 ,  +4.13e+06 , 
 0.010  ,  +0.03193 ,  +0.00e+00 ,  -6.85e-01 ,  -1.33e+00 ,  -2.74e+00 ,  +2.24e+06 , 
 0.010  ,  +0.03285 ,  +0.00e+00 ,  -7.84e-01 ,  +2.59e-01 ,  +5.69e+00 ,  +1.52e+06 , 
 0.175  ,  +0.57500 ,  +0.00e+00 ,  -7.99e-01 ,  +2.85e-01 ,  +1.20e+01 ,  +2.19e+06 , 
 0.175  ,  +0.57546 ,  +0.00e+00 ,  -8.00e-01 ,  +2.79e-01 ,  +1.22e+01 ,  +2.23e+06 , 
 0.020  ,  +0.06320 ,  +0.00e+00 ,  -7.53e-01 ,  -5.68e-01 ,  +1.05e+00 ,  +2.38e+06 , 
 0.010  ,  +0.02489 ,  +0.00e+00 ,  -4.29e-01 ,  -3.77e+00 ,  -1.84e+01 ,  +2.64e+06 , 
 0.015  ,  +0.02434 ,  +0.00e+00 ,  -1.63e-01 ,  -3.23e+00 ,  -2.19e+01 ,  -1.16e+06 , 
 0.020  ,  +0.01685 ,  +0.00e+00 ,  -4.53e-02 ,  -1.77e+00 ,  -1.74e+00 ,  -1.02e+06 , 
 0.030  ,  +0.01055 ,  +0.00e+00 ,  -9.48e-03 ,  -7.41e-01 ,  +1.48e+00 ,  -4.57e+04 , 
 0.032  ,  +0.00415 ,  +0.00e+00 ,  -1.14e-03 ,  -2.29e-01 ,  +3.96e-01 ,  +5.05e+04 , 
 0.033  ,  +0.00405 ,  +1.12e-04 ,  +9.97e-04 ,  -1.16e-01 ,  +8.07e-02 ,  +3.53e+04 , 
